attr_id,title,description,country,currency
52,U.S. Consumer Credit,"Consumer Credit measures the change in the total value of outstanding consumer credit that requires installment payments.\r\nIt is closely correlated with consumer spending and confidence. The figure can be volatile as it often subject to sizable revisions.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
55,U.K. Core Consumer Price Index (CPI) YoY,"The Core Consumer Price Index (CPI) measures the changes in the price of goods\r\nand services, excluding food and energy. The CPI measures price change from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.\r\n\r\nA higher than expected reading should be taken as positive/bullish for the GBP, while a lower than expected reading should be taken as negative/bearish for the GBP.",United Kingdom,GBP
56,U.S. Core Consumer Price Index (CPI) MoM,"The Core Consumer Price Index (CPI) measures the changes in the price of goods\nand services, excluding food and energy. The CPI measures price change from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
57,Canada Core Consumer Price Index (CPI) MoM,"The Core Consumer Price Index (CPI) measures the changes in the price of goods and services, excluding food and energy. The CPI measures price change from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the CAD, while a lower than expected reading should be taken as negative/bearish for the CAD.",Canada,CAD
59,U.S. Core Durable Goods Orders MoM,"Core Durable Goods Orders measures the change in the total value of new orders for long lasting manufactured goods, excluding transportation items. Because aircraft orders are very volatile, the core number gives a better gauge of ordering trends. A higher reading indicates increased manufacturing activity.A higher than expected reading should be taken as positive/bullish for the USD,\r\nwhile a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
60,Japan Core Machinery Orders MoM,"Core Machinery Orders measures the change in the total value of new orders placed with machine manufacturers, excluding ships and utilities. It is a key indicator of investment and a leading indicator of manufacturing production.\r\nA higher than expected reading should be taken as positive/bullish for the JPY, while a lower than expected reading should be taken as negative/bearish for the JPY.",Japan,JPY
61,U.S. Core PCE Price Index MoM,"The Core Personal Consumption Expenditure (PCE) Price Index measures the changes in the price of goods and services purchased by consumers for the purpose of consumption, excluding food and energy. Prices are weighted according to total expenditure per item. It measures price change from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation. \r\nA higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
62,U.S. Core Producer Price Index (PPI) MoM,"The Core Producer Price Index (PPI) measures the change in the selling price of goods and services sold by producers, excluding food and energy. The PPI measures price change from the perspective of the seller. When producers pay more for goods and services, they are more likely to pass the higher costs to the consumer, so PPI is thought to be a leading indicator of consumer inflation.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
63,U.S. Core Retail Sales MoM,"Core Retail Sales measures the change in the total value of sales at the retail level in the U.S., excluding automobiles. It is an important indicator of consumer spending and is also considered as a pace indicator for the U.S. economy.A higher than expected reading should be taken as positive/bullish for the USD,\r\nwhile a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
64,New Zealand Core Retail Sales QoQ,"Core Retail Sales measures the change in the total value of inflation-adjusted sales at the retail level in New Zealand, excluding automobiles and gas stations. It is an important indicator of consumer spending and is also considered a pace indicator for New Zealand's economy.A higher than expected reading should be taken as positive/bullish for the NZD,\r\nwhile a lower than expected reading should be taken as negative/bearish for the NZD.",New Zealand,NZD
67,U.K. Consumer Price Index (CPI) YoY,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the GBP, while a lower than expected reading should be taken as negative/bearish for the GBP.",United Kingdom,GBP
68,Eurozone Consumer Price Index (CPI) YoY,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation. A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Europe,EUR
69,U.S. Consumer Price Index (CPI) MoM,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation. A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
70,Canada Consumer Price Index (CPI) MoM,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation. A higher than expected reading should be taken as positive/bullish for the CAD, while a lower than expected reading should be taken as negative/bearish for the CAD.",Canada,CAD
72,New Zealand Consumer Price Index (CPI) QoQ,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the NZD, while a lower than expected reading should be taken as negative/bearish for the NZD.",New Zealand,NZD
73,Australia Consumer Price Index (CPI) QoQ,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation. A higher than expected reading should be taken as positive/bullish for the AUD, while a lower than expected reading should be taken as negative/bearish for the AUD.",Australia,AUD
74,New Zealand Credit Card Spending YoY,"Credit Card Spending measures the change in the credit card spending by individuals.\r\nIt is closely correlated with consumer spending and confidence.A higher than expected reading should be taken as positive/bullish for the NZD,\r\nwhile a lower than expected reading should be taken as negative/bearish for the NZD.",New Zealand,NZD
75,U.S. Crude Oil Inventories,"The Energy Information Administration's (EIA) Crude Oil Inventories measures the weekly change in the number of barrels of commercial crude oil held by US firms. The level of inventories influences the price of petroleum products, which can have an impact on inflation.\r\n\r\nIf the increase in crude inventories is more than expected, it implies weaker demand and is bearish for crude prices. The same can be said if a decline in inventories is less than expected. \r\n\r\nIf the increase in crude is less than expected, it implies greater demand and is bullish for crude prices. The same can be said if a decline in inventories is more than expected.",United States,USD
76,Japan Corporate Services Price Index (CSPI) YoY,"The Corporate Services Price Index (CSPI) measures the change in the price of goods sold by corporations. It is a leading indicator of consumer price inflation.A higher than expected reading should be taken as positive/bullish for the JPY,\r\nwhile a lower than expected reading should be taken as negative/bearish for the JPY.",Japan,JPY
77,Japan Adjusted Current Account,"The Japanese Adjusted Current Account index measures the difference in value between exported and imported goods, services and interest payments during the reported month. The goods portion is the same as the monthly Trade Balance figure. Because foreigners must buy the domestic currency to pay for the nation's exports the data can have a sizable affect on the JPY.A higher than expected reading should be taken as positive/bullish for the JPY,\r\nwhile a lower than expected reading should be taken as negative/bearish for the JPY.",Japan,JPY
78,Eurozone Current Account,"The Current Account index measures the difference in value between exported and imported goods, services and interest payments during the reported month. The goods portion is the same as the monthly Trade Balance figure. Because foreigners must buy the domestic currency to pay for the exports the data can have a sizable affect on the EUR.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Europe,EUR
79,Canada Current Account,"The Current Account index measures the difference in value between exported and imported goods, services and interest payments during the reported month. The goods portion is the same as the monthly Trade Balance figure. Because foreigners must buy the domestic currency to pay for the nation's exports the data can have a sizable affect on the CAD.A higher than expected reading should be taken as positive/bullish for the CAD,\r\nwhile a lower than expected reading should be taken as negative/bearish for the CAD.",Canada,CAD
80,Australia Current Account,"The Current Account index measures the difference in value between exported and imported goods, services and interest payments during the reported month. The goods portion is the same as the monthly Trade Balance figure. Because foreigners must buy the domestic currency to pay for the nation's exports the data can have a sizable affect on the AUD.A higher than expected reading should be taken as positive/bullish for the AUD,\r\nwhile a lower than expected reading should be taken as negative/bearish for the AUD.",Australia,AUD
81,U.S. Current Account,"The Current Account index measures the difference in value between exported and imported goods, services and interest payments during the reported month. The goods portion is the same as the monthly Trade Balance figure. Because foreigners must buy the domestic currency to pay for the nation's exports the data can have a sizable affect on the USD.A higher than expected reading should be taken as positive/bullish for the USD,\r\nwhile a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
82,New Zealand Current Account QoQ,"The Current Account index measures the difference in value between exported and imported goods, services and interest payments during the reported month. The goods portion is the same as the monthly Trade Balance figure. Because foreigners must buy the domestic currency to pay for the nation's exports the data can have a sizable affect on the NZD.A higher than expected reading should be taken as positive/bullish for the NZD,\r\nwhile a lower than expected reading should be taken as negative/bearish for the NZD.",New Zealand,NZD
83,U.K. Current Account,"The Current Account index measures the difference in value between exported and imported goods, services and interest payments during the reported month. The goods portion is the same as the monthly Trade Balance figure. Because foreigners must buy the domestic currency to pay for the nation's exports the data can have a sizable affect on the GBP.A higher than expected reading should be taken as positive/bullish for the GBP,\r\nwhile a lower than expected reading should be taken as negative/bearish for the GBP.",United Kingdom,GBP
85,U.S. Total Vehicle Sales,"Total Vehicle Sales measures the annualized number of new vehicles sold domestically in the reported month. It is an important indicator of consumer spending and is also correlated to consumer confidence.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
86,U.S. Durable Goods Orders MoM,"Durable Goods Orders measures the change in the total value of new orders for long lasting manufactured goods, including transportation items.A higher than expected reading should be taken as positive/bullish for the USD,\r\nwhile a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
91,Japan Economy Watchers Current Index,"The Economy Watchers Current Index measures the current mood of businesses that directly service consumers, such as barbers, taxi drivers, and waiters. The data is compiled from a survey of about 2,000 workers. A reading above 50.0 indicates optimism; below indicates pessimism.\r\nA higher than expected reading should be taken as positive/bullish for the JPY, while a lower than expected reading should be taken as negative/bearish for the JPY.",Japan,JPY
93,New Zealand Employment Change QoQ,"Employment Change measures the change in the number of people employed. Job creation is an important indicator of consumer spending.A higher than expected reading should be taken as positive/bullish for the NZD, while a lower than expected reading should be taken as negative/bearish for the NZD.",New Zealand,NZD
94,Australia Employment Change,"Employment Change measures the change in the number of people employed. Job creation is an important indicator of consumer spending.A higher than expected reading should be taken as positive/bullish for the AUD, while a lower than expected reading should be taken as negative/bearish for the AUD.",Australia,AUD
95,Canada Employment Change,"Employment Change measures the change in the number of people employed. Job creation is an important indicator of consumer spending.A higher than expected reading should be taken as positive/bullish for the CAD, while a lower than expected reading should be taken as negative/bearish for the CAD.",Canada,CAD
96,Eurozone Employment Change QoQ,"Employment Change measures the change in the number of people employed. Job creation is an important indicator of consumer spending.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Europe,EUR
98,Switzerland Employment Level,"The Employment Level measures the number of people employed during the previous quarter. Job creation is an important indicator of consumer spending.\r\nA higher than expected reading should be taken as positive/bullish for the CHF, while a lower than expected reading should be taken as negative/bearish for the CHF.",Switzerland,CHF
99,U.S. Existing Home Sales,"Existing Home Sales measures the change in the annualized number of existing residential buildings that were sold during the previous month. This report helps to gauge the strength of the U.S. housing market and is a key indicator of overall economic strength.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
100,U.S. Factory Orders MoM,"Factory Orders measures the change in the total value of new purchase orders placed with manufacturers. The report also includes a revision of the Durable Goods Orders data released about a week earlier as well as data new data on non-durable goods orders.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
103,U.S. Fed Governor Kroszner Speaks,Federal Reserve Governor (March 2006 - January 2009) and Federal Open Market Committee (FOMC) voting member Randall Kroszner is to speak. FOMC members are responsible for setting the benchmark interest rate and their speeches are closely watched for indications on the future possible direction of monetary policy.His comments may determine a short-term positive or negative trend.,United States,USD
108,U.S. Federal Open Market Committee (FOMC) Meeting Minutes,"The Federal Open Market Committee (FOMC) Meeting Minutes are a detailed record of the committee's policy-setting meeting held about three weeks earlier. The minutes offer detailed insights regarding the FOMC's stance on monetary policy, so currency traders carefully examine them for clues regarding the outcome of future interest rate decisions.",United States,USD
109,Canada Foreign Securities Purchases,"Foreign Securities Purchases measures the overall value of domestic stocks, bonds, and money-market assets purchased by foreign investors.A higher than expected reading should be taken as positive/bullish for the CAD, while a lower than expected reading should be taken as negative/bearish for the CAD.",Canada,CAD
110,New Zealand Food Price Index (FPI) MoM,"The Food Price Index (FPI) measures the change in the cost of food and food services purchased by households. \r\nA higher than expected reading should be taken as positive/bullish for the NZD, while a lower than expected reading should be taken as negative/bearish for the NZD.",New Zealand,NZD
111,France Consumer Spending MoM,"French Consumer Spending measures the change in the inflation-adjusted value of all goods expenditures by consumers. Consumer spending accounts for the majority of economic activity.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",France,EUR
112,France Consumer Price Index (CPI) MoM,"The French Consumer Price Index (CPI) measures the changes in the price of goods and services purchased by consumers.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",France,EUR
113,France Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",France,EUR
114,France Government Budget Balance,"The French Government Budget Balance measures the difference in value between the government's income and expenditure for the year-to-date. A negative number indicates a budget deficit, while a positive number indicates a surplus.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",France,EUR
115,France Industrial Production MoM,"French Industrial Production measures the change in the total inflation-adjusted value of output produced by French manufacturers, mines, and utilities.\r\nA higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",France,EUR
117,France Trade Balance,"The Trade Balance index measures the difference in worth between exported and imported goods over the reported month.\r\nExport demand is directly linked to currency demand, while export demand also has an impact on production levels.A higher than expected reading should be taken as positive/bullish for the EUR,\r\nwhile a lower than expected reading should be taken as negative/bearish for the EUR.",France,EUR
119,Japan Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the JPY, while a lower than expected reading should be taken as negative/bearish for the JPY.",Japan,JPY
120,Eurozone Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Europe,EUR
121,U.K. Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the GBP, while a lower than expected reading should be taken as negative/bearish for the GBP.",United Kingdom,GBP
122,Switzerland Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the CHF, while a lower than expected reading should be taken as negative/bearish for the CHF.",Switzerland,CHF
123,Canada Gross Domestic Product (GDP) MoM,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health. Canada releases fresh GDP data on a monthly basis.A higher than expected reading should be taken as positive/bullish for the CAD, while a lower than expected reading should be taken as negative/bearish for the CAD.",Canada,CAD
124,Australia Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the AUD, while a lower than expected reading should be taken as negative/bearish for the AUD.",Australia,AUD
125,New Zealand Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the NZD, while a lower than expected reading should be taken as negative/bearish for the NZD.",New Zealand,NZD
126,Japan Gross Domestic Product (GDP) Price Index YoY,"The Gross Domestic Product (GDP) Price Index measures the change in the price of all goods and services included in GDP. It is the broadest measure of inflation and is the primary indicator the Bank of Japan uses to gauge inflation.A higher than expected reading should be taken as positive/bullish for the JPY, while a lower than expected reading should be taken as negative/bearish for the JPY.",Japan,JPY
128,Germany Consumer Price Index (CPI) MoM,"The German Consumer Price Index (CPI) measures the changes in the price of goods\r\nand services purchased by consumers.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Germany,EUR
130,Germany Factory Orders MoM,"German Factory Orders measures the change in the total value of new purchase orders placed with manufacturers for both durable and non-durable goods. It is a leading indicator of production.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Germany,EUR
